SubjID,Sess,Cond_code,Seq,FB,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,preacorr_adj,postbcorr_adj,prebcorr_adj,postacorr_adj,Zpreacorr_adj,Zpostbcorr_adj,Zprebcorr_adj,Zpostacorr_adj,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled,Flagged
S268,11,4,NA,NA,1,2,11,15,NA,NA,11,15,2,7,4,11,15,NA,NA,0.8367409394,1.4939306605,NA,NA,58,NA,58,NA,72,72,14,0
S286,12,4,NA,NA,2,6,0,1,NA,NA,0,1,2,6,1,0,0,NA,NA,-2.2730513501,-2.2325593241,NA,NA,27,NA,27,NA,27,27,0,0
S287,12,4,NA,NA,1,6,NA,NA,1,3,1,3,1,6,2,NA,NA,1,3,NA,NA,-1.9929436619,-1.8592922715,NA,30,30,36,NA,36,6,0
S288,12,4,NA,NA,2,6,0,6,NA,NA,0,6,2,NA,6,0,6,NA,NA,-2.2730513501,-0.7419633303,NA,NA,27,NA,27,NA,45,45,18,0
S289,12,4,NA,NA,1,6,NA,NA,3,8,3,8,2,6,5,NA,NA,2,8,NA,NA,-1.6928145514,-0.5047764133,NA,33,33,50,NA,50,17,0
S290,12,4,NA,NA,2,6,2,6,NA,NA,2,6,2,8,4,2,4,NA,NA,-1.7076345702,-1.2388286616,NA,NA,33,NA,33,NA,39,39,6,0
S309,13,4,NA,NA,1,3,5,4,NA,NA,5,4,1,NA,-1,5,3,NA,NA,-0.8595094003,-1.4872613272,NA,NA,41,NA,41,NA,36,36,-5,0
S310,13,4,NA,NA,2,3,NA,NA,7,3,7,3,2,7,-4,NA,NA,6,3,NA,NA,-0.4922981093,-1.8592922715,NA,45,45,36,NA,36,-9,0
S311,13,4,NA,NA,1,3,6,2,NA,NA,6,2,2,3,-4,5,2,NA,NA,-0.8595094003,-1.7356939928,NA,NA,41,NA,41,NA,33,33,-8,0
S312,13,4,NA,NA,2,3,NA,NA,4,7,4,7,2,3,3,NA,NA,3,7,NA,NA,-1.3926854409,-0.775679585,NA,36,36,47,NA,47,11,0
S313,13,4,NA,NA,1,3,6,3,NA,NA,6,3,1,8,-3,6,3,NA,NA,-0.5768010104,-1.4872613272,NA,NA,44,NA,44,NA,36,36,-8,0
S314,13,4,NA,NA,1,3,5,8,NA,NA,5,8,2,3,3,5,8,NA,NA,-0.8595094003,-0.245097999,NA,NA,41,NA,41,NA,51,51,10,0
S321,14,4,NA,NA,1,3,2,2,NA,NA,2,2,1,4,0,2,2,NA,NA,-1.7076345702,-1.7356939928,NA,NA,33,NA,33,NA,33,33,0,0
S322,14,4,NA,NA,2,3,NA,NA,5,8,5,8,2,8,3,NA,NA,5,8,NA,NA,-0.7924272198,-0.5047764133,NA,42,42,50,NA,50,8,0
S339,15,4,NA,NA,1,5,1,0,NA,NA,1,0,1,3,-1,0,0,NA,NA,-2.2730513501,-2.2325593241,NA,NA,27,NA,27,NA,27,27,0,0
S340,15,4,NA,NA,2,2,NA,NA,7,11,7,11,2,7,4,NA,NA,7,11,NA,NA,-0.1921689988,0.3079331016,NA,48,48,58,NA,58,10,0
S341,15,4,NA,NA,1,2,9,10,NA,NA,9,10,1,7,1,9,10,NA,NA,0.2713241595,0.2517673323,NA,NA,53,NA,53,NA,57,57,4,0
S342,15,4,NA,NA,2,2,NA,NA,8,6,8,6,2,6,-2,NA,NA,7,6,NA,NA,-0.1921689988,-1.0465827566,NA,48,48,44,NA,44,-4,0
