SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,MAPsgp,pargH,pargM,pargL,EAParg,MAParg,pcrH,pcrM,pcrL,EAPcr,MAPcr,pdtH,pdtM,pdtL,EAPdt,MAPdt,pexaH,pexaM,pexaL,EAPexa,MAPexa,pexpH,pexpM,pexpL,EAPexp,MAPexp,pextH,pextM,pextL,EAPext,MAPext,pindH,pindM,pindL,EAPind,MAPind,pmodH,pmodM,pmodL,EAPmod,MAPmod,precH,precM,precL,EAPrec,MAPrec,ptabH,ptabM,ptabL,EAPtab,MAPtab,pverH,pverM,pverL,EAPver,MAPver,ppicH,ppicM,ppicL,EAPpic,MAPpic
S218,2,2,1,63,33,30,0,0.01754629630,0.114,0.837,0.050,0.936,2,0.004,0.059,0.938,1.934,1,0.96,0.036,0,0.04,3,0.223,0.308,0.469,1.246,1,0.776,0.209,0.015,0.239,3,0.000,0.006,0.99,1.994,1,0.67,0.31,0,0.34,3,0.010,0.156,0.834,1.82,1,0.016,0.213,0.771,1.755,1,0.814,0.181,0.005,0.190,3,0.270,0.502,0.228,0.958,2,0.005,0.090,0.905,1.901,1,0.059,0.39,0.551,1.492,1
S219,3,1,1,63,25,38,0,0.01585648148,0.049,0.773,0.179,1.130,2,0.010,0.091,0.899,1.889,1,0.74,0.233,0,0.29,3,0.202,0.296,0.503,1.301,1,0.001,0.058,0.941,1.940,1,0.000,0.012,0.99,1.988,1,0.86,0.14,0,0.14,3,0.077,0.299,0.624,1.55,1,0.129,0.426,0.446,1.317,1,0.386,0.521,0.094,0.708,2,0.007,0.154,0.839,1.833,1,0.106,0.345,0.549,1.442,1,0.001,0.06,0.944,1.944,1
S220,1,2,2,63,30,33,0,0.02230324074,0.580,0.416,0.005,0.425,3,0.007,0.079,0.914,1.907,1,0.99,0.012,0,0.01,3,0.270,0.324,0.405,1.135,1,0.503,0.406,0.091,0.587,3,0.000,0.010,0.99,1.990,1,0.90,0.10,0,0.10,3,0.100,0.380,0.520,1.42,1,0.003,0.113,0.883,1.880,1,0.173,0.564,0.263,1.089,2,0.059,0.374,0.567,1.507,1,0.094,0.348,0.558,1.464,1,0.317,0.49,0.195,0.878,2
S221,2,2,1,63,26,37,0,0.02547453704,0.026,0.605,0.369,1.343,2,0.001,0.021,0.978,1.977,1,0.61,0.333,0,0.44,3,0.176,0.279,0.544,1.368,1,0.018,0.218,0.763,1.745,1,0.001,0.039,0.96,1.960,1,0.76,0.23,0,0.24,3,0.042,0.267,0.690,1.65,1,0.036,0.257,0.707,1.671,1,0.010,0.233,0.756,1.746,1,0.130,0.459,0.410,1.280,2,0.084,0.359,0.558,1.474,1,0.007,0.16,0.835,1.828,1
S222,3,1,1,63,14,47,0,0.01725694444,0.000,0.000,1.000,2.000,1,0.000,0.006,0.993,1.993,1,0.21,0.656,0,0.93,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.003,1.00,1.997,1,0.17,0.78,0,0.88,2,0.000,0.021,0.979,1.98,1,0.000,0.016,0.984,1.984,1,0.138,0.580,0.282,1.144,2,0.004,0.104,0.892,1.888,1,0.001,0.049,0.951,1.950,1,0.000,0.04,0.961,1.961,1
S223,1,2,2,63,14,49,0,0.01796296296,0.000,0.010,0.990,1.990,1,0.000,0.002,0.998,1.998,1,0.02,0.403,1,1.55,1,0.098,0.228,0.674,1.575,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.983,1,0.04,0.76,0,1.16,2,0.002,0.050,0.948,1.95,1,0.000,0.016,0.984,1.984,1,0.001,0.102,0.897,1.896,1,0.008,0.150,0.842,1.834,1,0.007,0.161,0.832,1.825,1,0.001,0.06,0.944,1.944,1
S228,1,2,2,63,18,45,0,0.02607638889,0.000,0.123,0.877,1.877,1,0.000,0.002,0.998,1.998,1,0.29,0.594,0,0.84,2,0.112,0.237,0.650,1.538,1,0.000,0.016,0.984,1.984,1,0.000,0.003,1.00,1.997,1,0.68,0.32,0,0.33,3,0.001,0.041,0.958,1.96,1,0.000,0.011,0.989,1.989,1,0.001,0.101,0.897,1.896,1,0.002,0.072,0.926,1.924,1,0.002,0.083,0.915,1.913,1,0.042,0.32,0.636,1.594,1
S229,2,2,1,63,24,39,0,0.03075231481,0.000,0.051,0.948,1.948,1,0.001,0.015,0.984,1.984,1,0.04,0.406,1,1.52,1,0.104,0.231,0.665,1.561,1,0.000,0.012,0.988,1.988,1,0.000,0.003,1.00,1.997,1,0.97,0.03,0,0.03,3,0.007,0.088,0.905,1.90,1,0.038,0.230,0.732,1.694,1,0.142,0.578,0.280,1.138,2,0.088,0.425,0.488,1.400,1,0.021,0.241,0.738,1.717,1,0.003,0.10,0.896,1.893,1
S230,3,1,1,63,41,22,0,0.03017361111,0.888,0.112,0.000,0.112,3,0.206,0.433,0.361,1.156,2,1.00,0.001,0,0.00,3,0.298,0.333,0.369,1.070,1,0.918,0.080,0.002,0.083,3,0.034,0.280,0.69,1.652,1,1.00,0.00,0,0.00,3,0.679,0.267,0.054,0.38,3,0.717,0.262,0.020,0.303,3,0.811,0.179,0.010,0.199,3,0.024,0.265,0.711,1.687,1,0.703,0.251,0.046,0.344,3,0.029,0.30,0.668,1.640,1
S231,1,2,2,63,37,25,1,0.02644675926,0.469,0.525,0.006,0.537,2,0.270,0.321,0.410,1.140,1,0.94,0.061,0,0.07,3,0.260,0.321,0.419,1.159,1,0.005,0.129,0.867,1.862,1,0.193,0.388,0.42,1.226,1,0.99,0.01,0,0.01,3,0.351,0.366,0.283,0.93,2,0.372,0.459,0.169,0.796,2,0.906,0.091,0.002,0.096,3,0.413,0.455,0.133,0.720,2,0.260,0.394,0.346,1.087,2,0.047,0.34,0.613,1.566,1
S232,2,2,1,63,21,42,0,0.02247685185,0.032,0.711,0.256,1.224,2,0.000,0.005,0.995,1.995,1,0.69,0.275,0,0.35,3,0.191,0.289,0.521,1.330,1,0.001,0.052,0.948,1.947,1,0.000,0.002,1.00,1.998,1,0.58,0.41,0,0.44,3,0.010,0.164,0.827,1.82,1,0.235,0.437,0.328,1.092,2,0.001,0.102,0.896,1.895,1,0.650,0.312,0.038,0.388,3,0.016,0.188,0.796,1.781,1,0.001,0.06,0.939,1.938,1
